overallPick	name	position	team	yahooPlayerId	isMine
1	J. Gibbs	RB	DET	40059	false
2	B. Robinson	RB	ATL	40055	false
3	J. Chase	WR	CIN	33393	false
4	J. Taylor	RB	IND	32711	false
5	C. McCaffrey	RB	SF	30121	false
6	J. Cook III	RB	BUF	34019	false
7	P. Nacua	WR	LAR	40168	false
8	A. St. Brown	WR	DET	33500	true
9	J. Allen	QB	BUF	30977	true
10	J. Smith-Njigba	WR	SEA	40041	false
11	S. Barkley	RB	PHI	30972	false
12	C. Lamb	WR	DAL	32687	false
13	K. Walker III	RB	KC	33996	false
14	D. Henry	RB	BAL	29279	false
15	J. Jefferson	WR	MIN	32692	false
16	C. Brown	RB	CIN	40196	false
17	T. McBride	TE	ARI	34010	false
18	D. Achane	RB	MIA	40118	false
19	D. London	WR	ATL	33963	false
20	A. Brown	WR	NE	31883	false
21	B. Bowers	TE	LV	40878	false
22	N. Collins	WR	HOU	33477	false
23	G. Pickens	WR	DAL	34007	false
24	A. Jeanty	RB	LV	41791	true
25	C. Loveland	TE	CHI	41795	true
26	O. Hampton	RB	LAC	41807	false
27	C. Olave	WR	NO	33966	false
28	K. Williams	RB	LAR	34120	false
29	D. Smith	WR	PHI	33398	false
30	J. Williams	RB	DAL	33423	false
31	L. Jackson	QB	BAL	31002	false
32	M. Nabers	WR	NYG	40899	false
33	D. Maye	QB	NE	40881	false
34	T. Higgins	WR	CIN	32703	false
35	Z. Flowers	WR	BAL	40039	false
36	G. Wilson	WR	NYJ	33965	false
37	J. Love	RB	ARI	42625	false
38	J. Burrow	QB	CIN	32671	false
39	B. Hall	RB	NYJ	33991	false
40	R. Rice	WR	KC	40084	true
41	D. Montgomery	RB	HOU	31905	true
42	T. Warren	TE	IND	41799	false
43	J. Waddle	WR	DEN	33394	false
44	T. McMillan	WR	CAR	41793	false
45	T. Etienne Jr.	RB	NO	33413	false
46	J. Hurts	QB	PHI	32723	false
47	D. Swift	RB	CHI	32705	false
48	L. McConkey	WR	LAC	40908	false
49	C. Skattebo	RB	NYG	41922	false
50	E. Egbuka	WR	TB	41804	false
51	T. Kraft	TE	GB	40102	false
52	L. Burden III	WR	CHI	41824	false
53	J. Daniels	QB	WAS	40896	false
54	S. LaPorta	TE	DET	40064	false
55	D. Prescott	QB	DAL	29369	false
56	T. McLaurin	WR	WAS	31908	true
57	B. Irving	RB	TB	40993	true
58	Q. Judkins	RB	CLE	41821	false
59	D. Moore	WR	BUF	30994	false
60	J. Williams	WR	DET	33967	false
61	P. Washington	WR	JAC	40234	false
62	R. Odunze	WR	CHI	40901	false
63	D. Adams	WR	LAR	27581	false
64	M. Harrison Jr.	WR	ARI	40893	false
65	R. Stevenson	RB	NE	33508	false
66	B. Tuten	RB	JAC	41900	false
67	J. Price	RB	SEA	42654	false
68	T. Lawrence	QB	JAC	33389	false
69	C. Watson	WR	GB	33989	false
70	T. Henderson	RB	NE	41823	false
71	M. Evans	WR	SF	27535	false
72	R. Dowdle	RB	PIT	33100	true
73	M. Lloyd	RB	GB	40971	true
74	J. Warren	RB	PIT	34447	false
75	B. Thomas Jr.	WR	JAC	40883	false
76	C. Williams	QB	CHI	40900	false
77	H. Fannin Jr.	TE	CLE	41877	false
78	B. Aubrey	K	DAL	40819	false
79	K. Pitts Sr.	TE	ATL	33392	false
80	C. Tate	WR	TEN	42626	false
81	J. Herbert	QB	LAC	32676	false
82	G. Kittle	TE	SF	30259	false
83	Rams	DEF	LAR	100014	false
84	J. Brooks	RB	CAR	40926	false
85	T. Pollard	RB	TEN	31960	false
86	D. Metcalf	WR	PIT	31896	false
87	B. Purdy	QB	SF	34218	false
88	A. Pierce	WR	IND	34008	true
89	J. Dobbins	RB	DEN	32725	true
90	D. Kincaid	TE	BUF	40048	false
91	D. Goedert	TE	PHI	31019	false
92	T. Kelce	TE	KC	26686	false
93	B. Nix	QB	DEN	40875	false
94	C. Hubbard	RB	CAR	33514	false
95	C. Godwin Jr.	WR	TB	30197	false
96	I. Likely	TE	NYG	34095	false
97	J. Downs	WR	IND	40126	false
98	Texans	DEF	HOU	100034	false
99	M. Lemon	WR	PHI	42642	false
100	J. Johnson	TE	NO	33113	false
101	Q. Johnston	WR	LAC	40051	false
102	H. Mevis	K	LAR	41312	false
103	M. Wilson	WR	ARI	40121	false
104	J. Dart	QB	NYG	41810	true
105	Seahawks	DEF	SEA	100026	true
106	Broncos	DEF	DEN	100007	false
107	Vikings	DEF	MIN	100016	false
108	K. Fairbairn	K	HOU	29792	false
109	Eagles	DEF	PHI	100021	false
110	M. Stafford	QB	LAR	9265	false
111	J. Goff	QB	DET	29235	false
112	C. Dicker	K	LAC	34344	false
113	Ravens	DEF	BAL	100033	false
114	J. Mason	RB	MIN	34320	false
115	B. Corum	RB	LAR	40962	false
116	J. Myers	K	SEA	28378	false
117	Jaguars	DEF	JAC	100030	false
118	J. Croskey-Merritt	RB	WAS	42010	false
119	C. Little	K	JAC	41062	false
120	C. Santos	K	CHI	28227	true
