pick	name	position	team	yahooPlayerId	isMine
1	J. Gibbs	RB	DET	40059	False
2	B. Robinson	RB	ATL	40055	False
3	J. Chase	WR	CIN	33393	False
4	P. Nacua	WR	LAR	40168	False
5	C. McCaffrey	RB	SF	30121	False
6	J. Allen	QB	BUF	30977	False
7	J. Taylor	RB	IND	32711	False
8	A. St. Brown	WR	DET	33500	True
9	J. Smith-Njigba	WR	SEA	40041	True
10	D. Achane	RB	MIA	40118	False
11	J. Cook III	RB	BUF	34019	False
12	S. Barkley	RB	PHI	30972	False
13	K. Walker III	RB	KC	33996	False
14	C. Lamb	WR	DAL	32687	False
15	C. Brown	RB	CIN	40196	False
16	J. Jefferson	WR	MIN	32692	False
17	D. Henry	RB	BAL	29279	False
18	N. Collins	WR	HOU	33477	False
19	O. Hampton	RB	LAC	41807	False
20	B. Bowers	TE	LV	40878	False
21	A. Jeanty	RB	LV	41791	False
22	D. London	WR	ATL	33963	False
23	G. Pickens	WR	DAL	34007	False
24	A. Brown	WR	NE	31883	True
25	K. Williams	RB	LAR	34120	True
26	C. Olave	WR	NO	33966	False
27	M. Nabers	WR	NYG	40899	False
28	D. Smith	WR	PHI	33398	False
29	J. Love	RB	ARI	42625	False
30	J. Williams	RB	DAL	33423	False
31	L. Jackson	QB	BAL	31002	False
32	B. Hall	RB	NYJ	33991	False
33	T. Higgins	WR	CIN	32703	False
34	R. Rice	WR	KC	40084	False
35	Z. Flowers	WR	BAL	40039	False
36	J. Waddle	WR	DEN	33394	False
37	T. McBride	TE	ARI	34010	False
38	G. Wilson	WR	NYJ	33965	False
39	T. Etienne Jr.	RB	NO	33413	False
40	C. Loveland	TE	CHI	41795	True
41	D. Swift	RB	CHI	32705	True
42	D. Adams	WR	LAR	27581	False
43	T. Warren	TE	IND	41799	False
44	T. McMillan	WR	CAR	41793	False
45	C. Skattebo	RB	NYG	41922	False
46	D. Maye	QB	NE	40881	False
47	T. Kraft	TE	GB	40102	False
48	J. Hurts	QB	PHI	32723	False
49	S. LaPorta	TE	DET	40064	False
50	D. Montgomery	RB	HOU	31905	False
51	H. Fannin Jr.	TE	CLE	41877	False
52	J. Burrow	QB	CIN	32671	False
53	J. Daniels	QB	WAS	40896	False
54	B. Irving	RB	TB	40993	False
55	C. Williams	QB	CHI	40900	False
56	Q. Judkins	RB	CLE	41821	True
57	J. Price	RB	SEA	42654	True
58	M. Lloyd	RB	GB	40971	False
59	L. McConkey	WR	LAC	40908	False
60	E. Egbuka	WR	TB	41804	False
61	L. Burden III	WR	CHI	41824	False
62	D. Moore	WR	BUF	30994	False
63	T. McLaurin	WR	WAS	31908	False
64	J. Williams	WR	DET	33967	False
65	R. Odunze	WR	CHI	40901	False
66	C. Watson	WR	GB	33989	False
67	P. Washington	WR	JAC	40234	False
68	B. Tuten	RB	JAC	41900	False
69	M. Evans	WR	SF	27535	False
70	R. Stevenson	RB	NE	33508	False
71	J. Warren	RB	PIT	34447	False
72	R. Dowdle	RB	PIT	33100	True
73	A. Pierce	WR	IND	34008	True
74	J. Reed	WR	GB	40063	False
75	M. Harrison Jr.	WR	ARI	40893	False
76	T. Henderson	RB	NE	41823	False
77	B. Thomas Jr.	WR	JAC	40883	False
78	J. Herbert	QB	LAC	32676	False
79	M. Pittman Jr.	WR	PIT	32704	False
80	J. Brooks	RB	CAR	40926	False
81	K. Pitts Sr.	TE	ATL	33392	False
82	C. Godwin Jr.	WR	TB	30197	False
83	T. Pollard	RB	TEN	31960	False
84	T. Lawrence	QB	JAC	33389	False
85	D. Prescott	QB	DAL	29369	False
86	G. Kittle	TE	SF	30259	False
87	D. Goedert	TE	PHI	31019	False
88	T. Kelce	TE	KC	26686	True
89	D. Metcalf	WR	PIT	31896	True
90	Broncos	DEF	DEN	100007	False
91	B. Purdy	QB	SF	34218	False
92	D. Kincaid	TE	BUF	40048	False
93	I. Likely	TE	NYG	34095	False
94	J. Johnson	TE	NO	33113	False
95	C. Hubbard	RB	CAR	33514	False
96	B. Nix	QB	DEN	40875	False
97	C. Tate	WR	TEN	42626	False
98	Q. Johnston	WR	LAC	40051	False
99	J. Dobbins	RB	DEN	32725	False
100	J. Downs	WR	IND	40126	False
101	M. Wilson	WR	ARI	40121	False
102	J. Croskey-Merritt	RB	WAS	42010	False
103	C. Sutton	WR	DEN	31010	False
104	Rams	DEF	LAR	100014	True
105	B. Aubrey	K	DAL	40819	True
106	J. Mason	RB	MIN	34320	False
107	Texans	DEF	HOU	100034	False
108	Seahawks	DEF	SEA	100026	False
109	K. Fairbairn	K	HOU	29792	False
110	Eagles	DEF	PHI	100021	False
111	H. Mevis	K	LAR	41312	False
112	C. Dicker	K	LAC	34344	False
113	Ravens	DEF	BAL	100033	False
114	Vikings	DEF	MIN	100016	False
115	J. Myers	K	SEA	28378	False
116	Jaguars	DEF	JAC	100030	False
117	C. Little	K	JAC	41062	False
118	T. Loop	K	BAL	41988	False
119	E. McPherson	K	CIN	33537	False
120	B. Young	QB	CAR	40029	True
